time_tsnumber,time_secondsf,ke_mean,ke_max,dynstat_eta_max,dynstat_eta_min,dynstat_eta_mean,dynstat_uvel_max,dynstat_uvel_min,dynstat_vvel_max,dynstat_vvel_min,advcfl_uvel_max,advcfl_vvel_max,advcfl_wvel_max,dynstat_theta_max,dynstat_theta_min
820.0,24600.0,1.3926884506904e-06,0.072133701676048,0.006309140193909,-0.00059525621216427,2.830882994488e-20,0.4018765996276,-0.012450303361384,0.24730488588584,-0.026121943736372,0.0023861336108434,0.0014717608761308,0.0026237587824367,33.578026170665,3.5029210598248
840.0,25200.0,1.3807866732208e-06,0.071417709834967,0.0059315733689463,-0.00053552311258156,2.1892161824041e-20,0.40974011968674,-0.012695714076041,0.23531493445563,-0.027353786451438,0.0024328230909725,0.0014004062752765,0.0027025452386672,33.578105834961,3.5029917998884
860.0,25800.0,1.3691790238691e-06,0.070716138935719,0.0052030535485211,-0.00046742958205711,4.1519617252491e-21,0.41690570124714,-0.012913021909602,0.22277617808903,-0.028401323441821,0.0024753685763736,0.0013257856263977,0.0027757196813867,33.578173219987,3.5030858104784
880.0,26400.0,1.3578484667692e-06,0.070029292790445,0.0041479673561961,-0.00039270465257715,1.962745542845e-20,0.42333515108878,-0.013113239165505,0.20972505152565,-0.029242369884057,0.0025135432956297,0.0012481157599226,0.0028413383775244,33.578228022057,3.5029639059973
900.0,27000.0,1.3467700841232e-06,0.069356417476312,0.0028374523388378,-0.00035943963949134,6.2656876944668e-20,0.42899029822519,-0.01330309855246,0.19618680962832,-0.0298728796017,0.0025471206093348,0.0011675469725946,0.0028994428878391,33.578269656518,3.5028960866061
920.0,27600.0,1.3359157478925e-06,0.068941966097939,0.0013820194039462,-0.00034845361824473,7.2848055724825e-20,0.43383829626265,-0.013486434220268,0.18254882874618,-0.038919766090289,0.0025759054927374,0.0010863846186045,0.0029513304712992,33.578297390041,3.5028787899443
940.0,28200.0,1.3252603319897e-06,0.070044281358033,0.001047851350738,-0.00072222720601859,-6.8318642933645e-20,0.43785342246529,-0.013666722048298,0.1684824424201,-0.056965763020659,0.0025997452176499,0.0010026727380684,0.0029979164095844,33.578310524814,3.5028765820577
960.0,28800.0,1.314787772457e-06,0.071189356201798,0.00089321155968719,-0.0020423552225157,-5.0955893900785e-21,0.44101466407757,-0.013848294765438,0.15400542196521,-0.074734449282631,0.0026185150212912,0.00091651709163981,0.003038775612173,33.578308524546,3.5029342493094
980.0,29400.0,1.3044931372199e-06,0.072360570595276,0.00072888672701692,-0.0031207448750606,5.8221826919971e-20,0.44330223736274,-0.014035213604187,0.13915813798033,-0.092379299043659,0.0026320974381527,0.00082815793283274,0.0030725963469188,33.578291180334,3.5030465791698
1000.0,30000.0,1.2943789033056e-06,0.073540232193076,0.00059714327199488,-0.0038988652116293,-2.4723044818529e-20,0.44469677438613,-0.01422898040318,0.12397956627545,-0.10973415492089,0.0026403774715414,0.00073782721449384,0.0030983468553192,33.578258791626,3.50306198258
1020.0,30600.0,1.2844481251194e-06,0.074711219751102,0.00047493245394036,-0.0043579522643497,-7.3602957856689e-20,0.44518134938473,-0.014427187142463,0.11192020839378,-0.12668240814387,0.002643254625106,0.00075391236745011,0.0031157757352519,33.578212168648,3.5030112081153
1040.0,31200.0,1.2746994107061e-06,0.075858339620964,0.00043695635285375,-0.0044911644955673,1.5475493703201e-20,0.44474375738216,-0.014623707567177,0.10845032902365,-0.14319299330935,0.0026406564320634,0.00085217016450717,0.0031252356615713,33.578152379811,3.5030128903066
1060.0,31800.0,1.2651255864174e-06,0.076968769585026,0.00039201301288918,-0.0043061881464978,-4.7181383241467e-20,0.44337787036807,-0.015220983976602,0.10435075844276,-0.15923937865909,0.0026325465074846,0.00094766541554706,0.0031275375380455,33.578080439564,3.5030187393639
1080.0,32400.0,1.2557144518076e-06,0.078031679559315,0.00034037158720602,-0.0038279955872841,-9.8137277142252e-20,0.44108426594184,-0.01639643115784,0.099622487077156,-0.17479561179871,0.0026189282808537,0.0010402436726763,0.0031237094126012,33.577997216959,3.5030709152936
1100.0,33000.0,1.2464503206623e-06,0.07903717885748,0.00031503694190715,-0.0030957506589997,7.2093153592962e-20,0.43786973801754,-0.017545857593899,0.094279353625658,-0.18983302971609,0.0025998420908882,0.0011297343565727,0.0031144328660161,33.577903592936,3.5031196408694
1120.0,33600.0,1.2373166082554e-06,0.079975113435573,0.00029304479849664,-0.0021742284142275,8.4549038768709e-20,0.43374564186919,-0.018665282592346,0.088347873242236,-0.20431914432252,0.0025753553592819,0.0012159441241174,0.003099681319698,33.577800619664,3.5031896446549
1140.0,34200.0,1.228298961785e-06,0.080834522766283,0.00039959021639235,-0.0011653919798451,4.1142166186559e-20,0.42872630200464,-0.019751195861012,0.081865153096096,-0.21821918383632,0.0025455531374901,0.0012986660414778,0.0030789656233039,33.577689494473,3.5031518417916
1160.0,34800.0,1.2193883079642e-06,0.081604017759982,0.0010125951516639,-0.0007284679444543,6.1901974812805e-20,0.42282863146296,-0.020801133976866,0.074876207726582,-0.23149895806574,0.0025105358463161,0.0013776966359794,0.0030518954078514,33.577571404541,3.5031235584042
1180.0,35400.0,1.2105829083583e-06,0.082272546345915,0.00206745646279,-0.00053569010127606,8.3227960037948e-20,0.41607288111255,-0.021813577933985,0.067486782284878,-0.24412699088227,0.0024704237248526,0.0014528485868812,0.0030185646659964,33.577447401505,3.5031349428597
1200.0,36000.0,1.2018886480548e-06,0.082829822155324,0.0029607493760442,-0.00052728209617819,8.5492666433539e-20,0.40918158589384,-0.022787419126781,0.066964115562234,-0.25607477852313,0.0024295068086678,0.0015239522625856,0.0029795241696732,33.57731837341,3.5031771501189
1220.0,36600.0,1.1933173225705e-06,0.083266124132047,0.0036349277381677,-0.00052471523712466,9.0399530290651e-20,0.40286349733938,-0.023721484731364,0.066070297264188,-0.26731546565567,0.0023919932946437,0.0015908478416326,0.0029354253150381,33.577185063705,3.5032407515174
1240.0,37200.0,1.1848836883594e-06,0.083571742432446,0.0040549382574976,-0.00053721910952808,2.5949760782807e-20,0.39585417595075,-0.024614352112339,0.064812000274618,-0.27828355657237,0.0023503756006299,0.0016561211460367,0.0028865970310968,33.577048077038,3.5032086002357
1260.0,37800.0,1.176601908436e-06,0.083736690680733,0.0042102103541274,-0.00053325896376382,1.7527883874205e-20,0.38816937497077,-0.025464466188667,0.063218955682456,-0.28948059288382,0.0023047472611645,0.0017227569503104,0.002833218862737,33.576907881656,3.5031906722939
1280.0,38400.0,1.1684822764909e-06,0.083751211745877,0.0041084764047461,-0.00051768015281466,-4.1720138131267e-20,0.37982645225691,-0.026270527536014,0.061325363585371,-0.29991269354159,0.0022552113381507,0.0017848404694005,0.002783588081136,33.576764842332,3.5031649303865
1300.0,39000.0,1.1605291868889e-06,0.083607013282987,0.0037653653019453,-0.00049041203431622,-8.9668218850408e-20,0.37084444499475,-0.027031933035851,0.059166196726442,-0.3095417752647,0.0022018808644657,0.0018421450620791,0.0027280826320798,33.576619266275,3.5031544001963
1320.0,39600.0,1.1527405815366e-06,0.083298557283055,0.0032022381715455,-0.00045268736956315,6.5015946106742e-20,0.36124471397043,-0.027748921911518,0.056775061600491,-0.3183379028692,0.0021448826693147,0.001894492578075,0.002666703660588,33.576471413149,3.5031589827581
1340.0,40200.0,1.1451087110887e-06,0.082823734468641,0.0024555482251039,-0.0004054700282646,-7.0904772502567e-21,0.35105167383238,-0.028422324992903,0.054183894088805,-0.32627998244767,0.0020843617141443,0.0019417574833228,0.0025997551893533,33.576321459077,3.5031807176598
1360.0,40800.0,1.1376219189003e-06,0.082183837477646,0.0015862242971723,-0.00035050166055527,-7.1668521143789e-20,0.34029311638684,-0.029053189697505,0.051423320776521,-0.33335490893557,0.0020204830122026,0.0019838617869603,0.0025276465359678,33.576169459934,3.5032001186401
1380.0,41400.0,1.1302669769077e-06,0.081383229216529,0.0010229619582064,-0.00029088121737683,-5.6617659889761e-22,0.32900006638069,-0.029642616867011,0.048655310884567,-0.33955652250265,0.0019534307722523,0.002020768830605,0.002450754505256,33.576015364679,3.5031979139568
1400.0,42000.0,1.1230314271879e-06,0.080429051252888,0.00073511438351806,-0.00099921497317097,3.1705889538266e-20,0.31720647209016,-0.030191869258281,0.045855746287897,-0.3448850373753,0.0018834065614489,0.0020524798891607,0.0023693888523493,33.575859080666,3.5031674636499
1420.0,42600.0,1.1159051636033e-06,0.079333087436288,0.00045604954651338,-0.0017523748119666,3.4159321466822e-20,0.30494898854816,-0.030702563585358,0.044357573140355,-0.34934681036071,0.0018106280182567,0.0020790327932595,0.0022837879819007,33.575700540407,3.5031547832319
1440.0,43200.0,1.1088810125746e-06,0.078672510472459,0.00035476401099261,-0.0023682579906852,1.6985297966928e-20,0.29226687552301,-0.03117679184856,0.044671092656067,-0.35295431227705,0.0017353282467003,0.0021005017592366,0.0021941616203311,33.57553971971,3.5031261359073
1460.0,43800.0,1.1019543260998e-06,0.077890860541338,0.00037050959745405,-0.0028063105859939,6.945099613144e-20,0.27920193493647,-0.031617167720082,0.044890224675739,-0.35572626784604,0.0016577554447852,0.0021169982216587,0.002100833656744,33.575376611137,3.5031174859995
1480.0,44400.0,1.0951220801214e-06,0.076997272887586,0.00038324106877422,-0.0030502717962225,6.2656876944668e-20,0.2657984187812,-0.032026809628477,0.045009108066399,-0.35768747773229,0.00157817235776,0.0021286697742449,0.0020732001529911,33.575211200084,3.5031288504419
1500.0,45000.0,1.0883820866369e-06,0.076002888975342,0.00039150337478141,-0.0030959784499835,5.0578442834853e-20,0.25210280109999,-0.032409225326189,0.045021889897076,-0.35886759779897,0.0014968549242476,0.0021356929049731,0.002080456151363,33.575043474512,3.5031472783528
1520.0,45600.0,1.0817321872968e-06,0.074919877480019,0.00038502183679659,-0.0029447473270716,-7.3980408922621e-20,0.24280080633786,-0.032768117564707,0.044924494169258,-0.35929890730214,0.0014416245317083,0.0021382597141568,0.0020954990668089,33.574873451607,3.5031595024991
1540.0,46200.0,1.0751699293043e-06,0.073760439874958,0.00036218687705049,-0.0026144397350242,7.2470604658894e-20,0.23744766633928,-0.033107214682,0.044715911978224,-0.35901408217698,0.0014098403788464,0.0021365646628267,0.0021063510176217,33.574701188392,3.5031893071536
1560.0,46800.0,1.0686926341218e-06,0.072536219369317,0.00032631059808832,-0.0021244924911346,-5.2843149230443e-20,0.23208574259696,-0.033430203053876,0.04451705475661,-0.35804500376484,0.0013780040726963,0.0021307974832266,0.0021130609395033,33.57465105074,3.5031853585771
1580.0,47400.0,1.0622978223647e-06,0.071258182475892,0.00033537476564826,-0.0015275468694292,6.6431387603986e-20,0.22672516535622,-0.042613873987715,0.044223097003332,-0.35642273601003,0.0013461757613701,0.0021211430431067,0.0021157305954895,33.574732344524,3.5031596201339
1600.0,48000.0,1.0559838298951e-06,0.069936695969645,0.00061090988506779,-0.00093363864314439,-1.0493139632902e-19,0.22137490848848,-0.055697135892476,0.043834634804031,-0.35417794463056,0.0013144087270352,0.0021077838402929,0.0021144927808804,33.574804435524,3.5031504751204
1620.0,48600.0,1.0497503587478e-06,0.068581452612062,0.00094431997691095,-0.00073406178737011,3.9254910856901e-20,0.21604300223135,-0.068590394518244,0.043359362859293,-0.35134086527419,0.0012827506490536,0.0020908998131771,0.0021095114176372,33.574865978589,3.5031572228207
1640.0,49200.0,1.0435988434051e-06,0.067201114692203,0.0015528169002198,-0.00055832459524944,1.1323531977952e-20,0.21073653256294,-0.081274938832837,0.042807104534452,-0.3479404517867,0.0012512436002668,0.0020706632718907,0.0021010081432042,33.574915735,3.503161013851
1660.0,49800.0,1.0375323425937e-06,0.065802838797425,0.0021492264832221,-0.00039226427744038,7.9642174911597e-20,0.20546145468217,-0.093732935105431,0.042190104485573,-0.34400307667769,0.0012199229395397,0.0020472311645171,0.0020892792031837,33.574952564844,3.5031657920974
1680.0,50400.0,1.03155482973e-06,0.064391983448573,0.0026234249405309,-0.00036490717259562,1.9061278829553e-20,0.20022241783286,-0.105947293443,0.041523048384018,-0.34020291594148,0.0011888162716566,0.0020246357290281,0.0020746699420038,33.57497540864,3.5031260941255
1700.0,51000.0,1.0256702670022e-06,0.062972204443468,0.0029485795290292,-0.00035681804388175,1.3588238373543e-20,0.19502280175772,-0.11790142416977,0.040822711028631,-0.3376083539596,0.0011579436637669,0.0020091948181966,0.0020575169548788,33.574983264592,3.5031120960985
1720.0,51600.0,1.0198817081469e-06,0.061545922056846,0.0031004028700904,-0.00033695130585277,-2.6421574615222e-20,0.189865024303,-0.12957889451523,0.040107232203855,-0.33438860659554,0.0011273194717802,0.0019900332671155,0.0020380996443459,33.574975176395,3.5030633925752
1740.0,52200.0,1.0141905438239e-06,0.060114974028158,0.0030616084744536,-0.00031323191909554,4.7370108774433e-20,0.18475101361727,-0.14096311870991,0.03939503631249,-0.33055183481233,0.0010969551440369,0.0019671996437914,0.0020166320106755,33.574950243603,3.5030405407616
1760.0,52800.0,1.0085962675978e-06,0.058681224910782,0.0028310546414965,-0.00028523045134049,4.5294127911809e-21,0.1796826519681,-0.15203725474001,0.038703531861102,-0.32610915959759,0.0010668618564601,0.0019407601321036,0.0019932831120257,33.574907647787,3.5030573362704
1780.0,53400.0,1.0030966894755e-06,0.057246957738134,0.0024284588665399,-0.00029032231777406,-2.6799025681153e-20,0.1746620428299,-0.16278436434939,0.038047957726004,-0.32107570981669,0.0010370520983834,0.0019108047678514,0.0019681916085094,33.574846675101,3.5031111117352
1800.0,54000.0,9.976881702634e-07,0.055814987103285,0.0018911175797507,-0.00029045605607094,-1.1474512404325e-19,0.16969158511646,-0.17318770652213,0.0374407386522,-0.31547086183093,0.0010282982584711,0.001877448864783,0.0019414688724469,33.574766725639,3.5030849882117
1820.0,54600.0,9.9236640208127e-07,0.054388575553237,0.0012667075054663,-0.00027964716498988,9.8137277142252e-21,0.16477394723749,-0.1832309616713,0.036891303780474,-0.30931791700146,0.0010879298685124,0.0018408310953379,0.0019132175504128,33.574667313483,3.5030280143678
1840.0,55200.0,9.8712691316561e-07,0.05297133462382,0.0008159065821309,-0.00035156873300121,2.2647063955904e-21,0.16011016810093,-0.19289829301952,0.036522070749819,-0.30264379550719,0.0011453294391231,0.0018011116684783,0.0018835694158729,33.57454805804,3.5030110375397
